shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
L01_1,41.644360000000006,-4.731400000000001,5
L01_1,41.64423,-4.7314300000000005,6
L01_1,41.6435,-4.7317,7
L01_1,41.64309,-4.7319,8
L01_1,41.64282,-4.731990000000001,9
L01_1,41.64247,-4.73203,10
L01_1,41.64231,-4.73184,11
L01_1,41.64202,-4.731730000000001,12
L01_1,41.64181000000001,-4.731660000000001,13
L01_1,41.641200000000005,-4.731540000000001,14
L01_1,41.64114,-4.73245,15
L01_1,41.64146,-4.73252,16
L01_1,41.64152,-4.73263,17
L01_1,41.641540000000006,-4.732830000000001,18
L01_1,41.64166,-4.7327900000000005,19
L01_1,41.641560000000005,-4.7329300000000005,20
L01_1,41.641690000000004,-4.73346,21
L01_1,41.641830000000006,-4.733960000000001,22
L01_1,41.64175,-4.73414,23
L01_1,41.64162,-4.734050000000001,24
L01_1,41.64157,-4.7338700000000005,25
L01_1,41.64162,-4.73338,26
L01_1,41.64153,-4.732900000000001,27
L01_1,41.64106,-4.732480000000001,28
L01_1,41.641130000000004,-4.73148,29
L01_1,41.64114,-4.73134,30
L01_1,41.64117,-4.73113,31
L01_1,41.641600000000004,-4.731260000000001,32
L01_1,41.64242,-4.73153,33
L01_1,41.642430000000004,-4.7316,34
L01_1,41.642680000000006,-4.731680000000001,35
L01_1,41.64275000000001,-4.732,36
L01_1,41.642590000000006,-4.73202,37
L01_1,41.64247,-4.73203,38
L01_1,41.642430000000004,-4.7319700000000005,39
L01_1,41.642230000000005,-4.731750000000001,40
L01_1,41.64211,-4.73165,41
L01_1,41.64195,-4.73156,42
L01_1,41.64175,-4.731470000000001,43
L01_1,41.6411,-4.731260000000001,44
L01_1,41.640440000000005,-4.731050000000001,45
L01_1,41.63888,-4.7305600000000005,46
L01_1,41.637460000000004,-4.730160000000001,47
L01_1,41.636700000000005,-4.72994,48
L01_1,41.634510000000006,-4.729240000000001,49
L01_1,41.63394,-4.729010000000001,50
L01_1,41.6334,-4.728820000000001,51
L01_1,41.6295,-4.72756,52
L01_1,41.62834,-4.72715,53
L01_1,41.62670000000001,-4.72658,54
L01_1,41.62614000000001,-4.726380000000001,55
L01_1,41.62516,-4.7260800000000005,56
L01_1,41.624660000000006,-4.72599,57
L01_1,41.624370000000006,-4.72597,58
L01_1,41.62402,-4.72599,59
L01_1,41.62268,-4.7261500000000005,60
L01_1,41.6216,-4.72627,61
L01_1,41.62122,-4.7262900000000005,62
L01_1,41.62008,-4.72628,63
L01_1,41.61872,-4.726330000000001,64
L01_1,41.61825,-4.72635,65
L01_1,41.618120000000005,-4.726400000000001,66
L01_1,41.618010000000005,-4.72649,67
L01_1,41.61798,-4.72653,68
L01_1,41.61791,-4.72658,69
L01_1,41.617810000000006,-4.7266,70
L01_1,41.617740000000005,-4.726590000000001,71
L01_1,41.61766,-4.7265500000000005,72
L01_1,41.6176,-4.72649,73
L01_1,41.61737,-4.72637,74
L01_1,41.617250000000006,-4.72635,75
L01_1,41.61384,-4.72637,76
L01_1,41.612610000000004,-4.72635,77
L01_1,41.611670000000004,-4.72627,78
L01_1,41.61041,-4.72607,79
L01_1,41.60925,-4.72583,80
L01_1,41.60822,-4.725630000000001,81
L01_1,41.60806,-4.725650000000001,82
L01_1,41.60763,-4.725580000000001,83
L01_1,41.60741,-4.7255400000000005,84
L01_1,41.607110000000006,-4.7255,85
L01_1,41.6064,-4.72538,86
L01_1,41.60582,-4.72525,87
L01_1,41.60483000000001,-4.72499,88
L01_1,41.60439,-4.72487,89
L01_1,41.60333000000001,-4.7245800000000004,90
L01_1,41.602810000000005,-4.72445,91
L01_1,41.602560000000004,-4.72437,92
L01_1,41.602470000000004,-4.724290000000001,93
L01_1,41.60233,-4.7242500000000005,94
L01_1,41.602180000000004,-4.724220000000001,95
L01_1,41.60096,-4.724010000000001,96
L01_1,41.59839,-4.723680000000001,97
L01_1,41.59787,-4.723610000000001,98
L01_1,41.59630000000001,-4.72339,99
L01_1,41.59566,-4.72325,100
L01_1,41.59554000000001,-4.723210000000001,101
L01_1,41.59544,-4.7232400000000005,102
L01_1,41.5947,-4.723000000000001,103
L01_1,41.594530000000006,-4.723050000000001,104
L01_1,41.59445,-4.72313,105
L01_1,41.59436,-4.723260000000001,106
L01_1,41.59431,-4.72349,107
L01_1,41.59429,-4.7236400000000005,108
L01_1,41.59442000000001,-4.72421,109
L01_1,41.59445,-4.724220000000001,110
L01_1,41.59447,-4.72426,111
L01_1,41.59447,-4.724340000000001,112
L01_1,41.59445,-4.72438,113
L01_1,41.594440000000006,-4.7243900000000005,114
L01_1,41.594550000000005,-4.724970000000001,115
L01_1,41.594010000000004,-4.72515,116
L01_1,41.592830000000006,-4.72555,117
L01_1,41.592400000000005,-4.725700000000001,118
L01_1,41.59225,-4.725750000000001,119
L01_1,41.592220000000005,-4.725700000000001,120
L01_1,41.5921,-4.725580000000001,121
L01_1,41.59143,-4.724830000000001,122
L01_1,41.590990000000005,-4.72431,123
L01_1,41.59098,-4.72433,124
L01_1,41.59095000000001,-4.72435,125
L01_1,41.59091,-4.724360000000001,126
L01_1,41.59084,-4.724340000000001,127
L01_1,41.590790000000005,-4.72426,128
L01_1,41.590790000000005,-4.72419,129
L01_1,41.59073,-4.72409,130
L01_1,41.590700000000005,-4.72405,131
L01_1,41.5906,-4.72398,132
L01_1,41.59055,-4.723920000000001,133
L01_1,41.59029,-4.72383,134
L01_1,41.5882,-4.72316,135
L01_1,41.588,-4.7231000000000005,136
L01_1,41.588,-4.72311,137
L01_1,41.587990000000005,-4.72313,138
L01_1,41.587970000000006,-4.7231700000000005,139
L01_1,41.58794,-4.723190000000001,140
L01_1,41.58785,-4.72351,141
L01_1,41.587320000000005,-4.72654,142
L01_1,41.587340000000005,-4.726570000000001,143
L01_1,41.58735,-4.72661,144
L01_1,41.587340000000005,-4.7267,145
L01_1,41.58729,-4.7267600000000005,146
L01_1,41.58722,-4.72677,147
L01_1,41.58717,-4.726710000000001,148
L01_1,41.587160000000004,-4.72663,149
L01_1,41.587160000000004,-4.7266,150
L01_1,41.587030000000006,-4.72654,151
L01_1,41.58592,-4.7261500000000005,152
L01_1,41.58418,-4.725580000000001,153
L01_1,41.58399,-4.72555,154
L01_1,41.58397,-4.725560000000001,155
L01_1,41.583920000000006,-4.725560000000001,156
L01_1,41.583870000000005,-4.7255400000000005,157
L01_1,41.58384,-4.7255,158
L01_1,41.58382,-4.725440000000001,159
L01_1,41.58382,-4.725370000000001,160
L01_1,41.58381000000001,-4.725210000000001,161
L01_1,41.583800000000004,-4.72491,162
L01_1,41.58382,-4.72456,163
L01_1,41.583870000000005,-4.7239700000000004,164
L01_1,41.58404,-4.72271,165
L01_1,41.5842,-4.72177,166
L01_1,41.58428000000001,-4.72137,167
L01_1,41.584360000000004,-4.721100000000001,168
L01_1,41.58444,-4.720870000000001,169
L01_1,41.5846,-4.72058,170
L01_1,41.584740000000004,-4.72041,171
L01_1,41.58484000000001,-4.72032,172
L01_1,41.585530000000006,-4.7198400000000005,173
L01_1,41.58601,-4.719530000000001,174
L01_1,41.5863,-4.71942,175
L01_1,41.58652,-4.71938,176
L01_1,41.58675,-4.7193700000000005,177
L01_1,41.58695,-4.71938,178
L01_1,41.58686,-4.719010000000001,179
L01_1,41.586830000000006,-4.719010000000001,180
L01_1,41.58655,-4.71903,181
L01_1,41.58512,-4.71921,182
L01_1,41.58449,-4.719250000000001,183
L01_1,41.58321,-4.719390000000001,184
L01_1,41.58211,-4.71952,185
L01_1,41.581590000000006,-4.71956,186
L01_1,41.58104,-4.71963,187
L01_1,41.580220000000004,-4.719620000000001,188
L01_1,41.58012,-4.71961,189
L01_1,41.580360000000006,-4.719620000000001,190
L01_1,41.57815,-4.71895,191
L01_1,41.57822,-4.71841,192
L01_1,41.57827,-4.7175,193
L01_1,41.57828000000001,-4.71729,194
L01_1,41.578320000000005,-4.71708,195
L01_1,41.578320000000005,-4.7168600000000005,196
L01_1,41.57837000000001,-4.71668,197
L01_1,41.57835,-4.7166500000000005,198
L01_1,41.577290000000005,-4.71652,199
L01_1,41.57728,-4.716620000000001,200
L01_1,41.577270000000006,-4.716760000000001,201
