trip_id,arrival_time,departure_time,pickup_type,drop_off_type,stop_id,stop_sequence
L01_11_0,08:30:00,08:30:00,,,ECSA:1,1
L01_11_0,08:31:00,08:31:00,,,ECSA:2,2
L01_11_0,08:32:00,08:32:00,,,ECSA:3,3
L01_11_0,08:33:00,08:33:00,,,ECSA:4,4
L01_11_0,08:34:00,08:34:00,,,ECSA:5,5
L01_11_0,08:35:00,08:35:00,,,ECSA:6,6
L01_11_0,08:37:00,08:37:00,,,ECSA:7,7
L01_11_0,08:38:00,08:38:00,1,,ECSA:8,8
L01_11_0,08:40:00,08:40:00,1,,ECSA:9,9
L01_11_0,08:45:00,08:45:00,1,,118,10
L01_11_0,08:47:00,08:47:00,,,ECSA:11,11
L01_11_0,08:52:00,08:52:00,,,VA:1,12
L01_12_0,08:45:00,08:45:00,,,ECSA:1,1
L01_12_0,08:46:00,08:46:00,,,ECSA:2,2
L01_12_0,08:49:00,08:49:00,,,ECSA:3,3
L01_12_0,08:50:00,08:50:00,,,ECSA:4,4
L01_12_0,08:55:00,08:55:00,,,ECSA:5,5
L01_12_0,08:56:00,08:56:00,,,ECSA:6,6
L01_12_0,08:58:00,08:58:00,,,ECSA:7,7
L01_12_0,08:59:00,08:59:00,1,,ECSA:8,8
L01_12_0,09:00:00,09:00:00,1,,ECSA:9,9
L01_12_0,09:01:00,09:01:00,1,,118,10
L01_12_0,09:02:00,09:02:00,,,ECSA:11,11
L01_12_0,09:03:00,09:03:00,,,VA:1,12
L01_13_0,09:00:00,09:00:00,,,ECSA:1,1
L01_13_0,09:01:00,09:01:00,,,ECSA:2,2
L01_13_0,09:04:00,09:04:00,,,ECSA:3,3
L01_13_0,09:05:00,09:05:00,,,ECSA:4,4
L01_13_0,09:10:00,09:10:00,,,ECSA:5,5
L01_13_0,09:11:00,09:11:00,,,ECSA:6,6
L01_13_0,09:13:00,09:13:00,,,ECSA:7,7
L01_13_0,09:14:00,09:14:00,1,,ECSA:8,8
L01_13_0,09:15:00,09:15:00,1,,ECSA:9,9
L01_13_0,09:16:00,09:16:00,1,,118,10
L01_13_0,09:17:00,09:17:00,,,ECSA:11,11
L01_13_0,09:18:00,09:18:00,,,VA:1,12
L01_14_0,09:15:00,09:15:00,,,ECSA:1,1
L01_14_0,09:16:00,09:16:00,,,ECSA:2,2
L01_14_0,09:19:00,09:19:00,,,ECSA:3,3
L01_14_0,09:20:00,09:20:00,,,ECSA:4,4
L01_14_0,09:25:00,09:25:00,,,ECSA:5,5
L01_14_0,09:26:00,09:26:00,,,ECSA:6,6
L01_14_0,09:28:00,09:28:00,,,ECSA:7,7
L01_14_0,09:29:00,09:29:00,1,,ECSA:8,8
L01_14_0,09:30:00,09:30:00,1,,ECSA:9,9
L01_14_0,09:31:00,09:31:00,1,,118,10
