stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
520,1340,Calle Plata 43,Parada,41.6169360376162,-4.70727499774879,,http://www.auvasa.es/parada.asp?codigo=520,,,Europe/Madrid
521,1341,Calle Plata 58 esquina Galena,Parada,41.6172770390737,-4.7069030001691,,http://www.auvasa.es/parada.asp?codigo=521,,,Europe/Madrid
522,1344,Calle Panaderos 4 esquina Divina Pastora,Parada,41.6480641563944,-4.72403920170611,,http://www.auvasa.es/parada.asp?codigo=522,,,Europe/Madrid
523,1346,Paseo Zorrilla 71 esquina Arzobispo García Goldáraz,Parada,41.6365157476364,-4.73910142053015,,http://www.auvasa.es/parada.asp?codigo=523,,,Europe/Madrid
524,1347,Calle Puente Colgante 47,Parada,41.6407520439689,-4.73660200468247,,http://www.auvasa.es/parada.asp?codigo=524,,,Europe/Madrid
525,1348,Calle Embajadores esquina Padre Benito Menni,Parada,41.6293103591552,-4.72334613837822,,http://www.auvasa.es/parada.asp?codigo=525,,,Europe/Madrid
526,1350,Camino Viejo Simancas frente Puente,Parada,41.5878073066325,-4.82159819326585,,http://www.auvasa.es/parada.asp?codigo=526,,,Europe/Madrid
527,1351,Carretera Segovia frente Víctimas del Terrorismo,Parada,41.6285292547692,-4.71889231432775,,http://www.auvasa.es/parada.asp?codigo=527,,,Europe/Madrid
528,1352,Cometa esq. Cosmologia,Parada,41.6551863573248,-4.6997721211106,,http://www.auvasa.es/parada.asp?codigo=528,,,Europe/Madrid
530,1354,Cometa esq. Pº Juan carlos 1,Parada,41.6553522187515,-4.70355192133213,,http://www.auvasa.es/parada.asp?codigo=530,,,Europe/Madrid
532,1356,Cometa 4,Parada,41.6547041336125,-4.70339579309973,,http://www.auvasa.es/parada.asp?codigo=532,,,Europe/Madrid
534,1358,Paseo Belén Campus Miguel Delibes,Parada,41.6614292944419,-4.70722316574041,,http://www.auvasa.es/parada.asp?codigo=534,,,Europe/Madrid
535,1360,Calle Kilimanjaro 2,Parada,41.6164750375556,-4.71859902617503,,http://www.auvasa.es/parada.asp?codigo=535,,,Europe/Madrid
536,1361,Calle Kilimanjaro frente 39,Parada,41.6134890400204,-4.71572600306809,,http://www.auvasa.es/parada.asp?codigo=536,,,Europe/Madrid
537,1362,Calle Dulzaina esquina Arribes del Duero,Parada,41.6289753199211,-4.71065007247048,,http://www.auvasa.es/parada.asp?codigo=537,,,Europe/Madrid
538,1363,Calle Dulzaina esquina Palillos,Parada,41.6292981997793,-4.71072971083961,,http://www.auvasa.es/parada.asp?codigo=538,,,Europe/Madrid
539,1364,Calle Plata 41A gasolinera,Parada,41.6176804622743,-4.70568142599565,,http://www.auvasa.es/parada.asp?codigo=539,,,Europe/Madrid
540,1365,Calle Francisco Umbral 7,Parada,41.6281889760852,-4.76288240408804,,http://www.auvasa.es/parada.asp?codigo=540,,,Europe/Madrid
541,1366,Calle Francisco Umbral 8,Parada,41.6283057068849,-4.76294843794029,,http://www.auvasa.es/parada.asp?codigo=541,,,Europe/Madrid
543,1368,Calle Verbena esquina Nicasio Pérez,Parada,41.6513910402983,-4.71675100483311,,http://www.auvasa.es/parada.asp?codigo=543,,,Europe/Madrid
544,1369,Calle Júpiter frente 12  esquina Comuneros de Castilla,Parada,41.6629374628376,-4.73629821780062,,http://www.auvasa.es/parada.asp?codigo=544,,,Europe/Madrid
545,1370,Plaza Castilla y León 4  esquina Miguel Delibes,Parada,41.6104550411938,-4.75194100098138,,http://www.auvasa.es/parada.asp?codigo=545,,,Europe/Madrid
546,1371,Plaza San Pablo 2 esquina San Quirce,Parada,41.6571720434158,-4.72584900575211,,http://www.auvasa.es/parada.asp?codigo=546,,,Europe/Madrid
547,1372,Calle Miguel Delibes 14,Parada,41.6117751476761,-4.75578910065759,,http://www.auvasa.es/parada.asp?codigo=547,,,Europe/Madrid
548,1373,Calle Miguel Delibes 1,Parada,41.6120116915324,-4.75609267681794,,http://www.auvasa.es/parada.asp?codigo=548,,,Europe/Madrid
549,1374,Avenida Las Contiendas 97,Parada,41.6585294016704,-4.74759965359955,,http://www.auvasa.es/parada.asp?codigo=549,,,Europe/Madrid
550,1375,Calle Fuente El Sol 50 esquina San Sebastián,Parada,41.6639660406615,-4.73434000604343,,http://www.auvasa.es/parada.asp?codigo=550,,,Europe/Madrid
551,1378,Paseo Arco Ladrillo 3 esquina Aragón,Parada,41.6437563757304,-4.73145773881489,,http://www.auvasa.es/parada.asp?codigo=551,,,Europe/Madrid
552,1379,Paseo Arco Ladrillo 8 esquina Paseo Hosp. Militar,Parada,41.6433430620337,-4.73183852930341,,http://www.auvasa.es/parada.asp?codigo=552,,,Europe/Madrid
553,1380,Calle El Barbero de Sevilla esquina Flauta Mágica,Parada,41.6839385344012,-4.74147883748882,,http://www.auvasa.es/parada.asp?codigo=553,,,Europe/Madrid
554,1381,Calle Flauta Mágica esquina Parsifal,Parada,41.6853856524909,-4.73782938048033,,http://www.auvasa.es/parada.asp?codigo=554,,,Europe/Madrid
