shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
AEROP_0,41.64162076573118,-4.733063578605652,1,
AEROP_0,41.64115746726137,-4.7330474853515625,2,
AEROP_0,41.64088018154194,-4.737553596496582,3,
AEROP_0,41.642566594888685,-4.736952781677246,4,
AEROP_0,41.64481819555182,-4.734141826629639,5,
AEROP_0,41.646614074564184,-4.731888771057129,6,
AEROP_0,41.64745453951778,-4.730772972106934,7,
AEROP_0,41.648146678663835,-4.731802940368652,8,
AEROP_0,41.648788036637036,-4.732704162597656,9,
AEROP_0,41.6491087132293,-4.733004570007324,10,
AEROP_0,41.65334176203946,-4.73210871219635,11,
AEROP_0,41.656176554599476,-4.731631278991698,12,
AEROP_0,41.65919050581084,-4.731588363647461,13,
AEROP_0,41.66001744729295,-4.732875823974609,14,
AEROP_0,41.66033806798274,-4.733691215515137,15,
AEROP_0,41.66067231345016,-4.73534882068634,16,
AEROP_0,41.66120373587161,-4.739227294921875,17,
AEROP_0,41.660537119272696,-4.755663871765137,18,
AEROP_0,41.66066536670522,-4.760041236877441,19,
AEROP_0,41.66130660003676,-4.765276908874511,20,
AEROP_0,41.66310201939559,-4.780211448669434,21,
AEROP_0,41.66446725252982,-4.7866058349609375,22,
AEROP_0,41.66470503009207,-4.788494110107422,23,
AEROP_0,41.666051528236046,-4.794158935546875,24,
AEROP_0,41.66714152991837,-4.796733856201172,25,
AEROP_0,41.66900090196243,-4.7989654541015625,26,
AEROP_0,41.67105256051678,-4.800424575805664,27,
AEROP_0,41.675155681462904,-4.802656173706055,28,
AEROP_0,41.68064212814388,-4.809179306030273,29,
AEROP_0,41.68425854709929,-4.811958074569702,30,
AEROP_0,41.68673169683795,-4.812183380126953,31,
AEROP_0,41.68642990316657,-4.812666177749634,32,
AEROP_0,41.68611408621003,-4.813728332519531,33,
AEROP_0,41.68595050174511,-4.814715385437012,34,
AEROP_0,41.68567808267896,-4.815959930419921,35,
AEROP_0,41.68574218138654,-4.816775321960449,36,
AEROP_0,41.7007771724086,-4.834654927253723,37,
AEROP_0,41.70620910414321,-4.841247797012329,38,
AEROP_0,41.70694266274177,-4.841644763946533,39,
AEROP_0,41.70705479835674,-4.8418378829956055,40,
AEROP_0,41.70701859388291,-4.842445426557964,41,
AEROP_0,41.707126885434526,-4.842191934585571,42,
AEROP_0,41.706830526931185,-4.842492341995238,43,
AEROP_0,41.70653416706175,-4.842878580093384,44,
AEROP_0,41.70633392313338,-4.843200445175171,45,
AEROP_0,41.706365962203826,-4.843511581420898,46,
AEROP_0,41.706398001258314,-4.84395146369934,47,
AEROP_0,41.70610791379402,-4.844525456428528,48,
AEROP_1,41.70610791379402,-4.844525456428528,1,
AEROP_1,41.705370073673215,-4.845532178660505,2,
AEROP_1,41.70522589549721,-4.845746755381697,3,
AEROP_1,41.70491350834008,-4.845317601939314,4,
AEROP_1,41.706811837651145,-4.842474460383528,5,
AEROP_1,41.706851886189014,-4.842120408793561,6,
AEROP_1,41.70135792826974,-4.835625886917114,7,
AEROP_1,41.70110266333479,-4.835300445120083,8,
AEROP_1,41.70089238943194,-4.834953546305769,9,
AEROP_1,41.686103403199056,-4.817293882151716,10,
AEROP_1,41.68560864242188,-4.816482066671597,11,
AEROP_1,41.68560864242188,-4.815988540212857,12,
AEROP_1,41.68530417236025,-4.815559386770474,13,
AEROP_1,41.68567274119864,-4.815237521688687,14,
AEROP_1,41.68588707101962,-4.814279079218977,15,
AEROP_1,41.68580694780564,-4.813753366252058,16,
AEROP_1,41.6855585652081,-4.813399314662092,17,
AEROP_1,41.68518999571568,-4.813077449580305,18,
AEROP_1,41.68391400785071,-4.812111853680108,19,
AEROP_1,41.67971528831835,-4.808163642010186,20,
AEROP_1,41.67718310365731,-4.805116652569268,21,
AEROP_1,41.675548349246206,-4.80331420811126,22,
AEROP_1,41.673849442822195,-4.802198409161065,23,
AEROP_1,41.67134908388402,-4.800868033489678,24,
AEROP_1,41.66948977966132,-4.7994089117855765,25,
AEROP_1,41.66804717904456,-4.797906874737237,26,
