stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id,level_id,stop_timezone,platform_code,wheelchair_boarding,stop_code,stop_url,stop_desc
REGI:56,José Luís Lasa 18,41.611610,-4.789249,,,,,,,,REGI:56,,
REGI:57,Plaza de Juan Carlos I 1,41.613327,-4.785296,,,,,,,,REGI:57,,
REGI:58,Avenida de Colón (Multiusos de la Vega),41.612473,-4.783160,,,,,,,,REGI:58,,
REGI:59,Avenida de Colón 132,41.617027,-4.779335,,,,,,,,REGI:59,,
REGI:6,Avenida de Colón f 175,41.618847,-4.775369,,,,,,,,REGI:6,,
REGI:60,Avenida de Colón 175,41.618720,-4.775692,,,,,,,,REGI:60,,
REGI:61,Calle Cardenal Torquemada f,41.621773,-4.774397,,,,,,,,REGI:61,,
REGI:62,Avenida de Salamanca (Hipercor),41.624540,-4.767443,,,,,,,,REGI:62,,
REGI:67,Camino del Cementerio nº 35 (Campus universitario),41.665092,-4.705815,,,,,,,,REGI:67,,
REGI:7,Avenida de Colón f 132,41.617090,-4.779314,,,,,,,,REGI:7,,
REGI:8,Avenida de Colón (f Multiusos de la Vega),41.612630,-4.783056,,,,,,,,REGI:8,,
REGI:9,Plaza de Juan Carlos I,41.613403,-4.785303,,,,,,,,REGI:9,,
VA:1,Estación de Autobuses,41.641652,-4.732592,,,,,,,,VA:1,,
